Nombre,Último,% Dif.,Máx.,Min.,Volumen,Efectivo (miles €),Fecha,Hora

ACCIONA,"92,6500","-0,05","93,8000","92,3500",29.990,"2.791,64",07/11/2019,13:54:35
ACERINOX,"9,3720","1,10","9,4500","9,3100",819.451,"7.703,77",07/11/2019,13:54:54
ACS,"36,1000","-1,74","36,9900","36,0500",760.656,"27.746,14",07/11/2019,13:55:09
AENA,"167,3500","0,57","168,0500","166,3500",20.507,"3.430,86",07/11/2019,13:55:02
AMADEUS,"70,7000","3,09","71,9200","69,7600",341.271,"24.139,41",07/11/2019,13:55:09
ARCELORMIT.,"15,3240","5,68","15,7700","15,2000",1.734.382,"26.831,19",07/11/2019,13:54:01
BA.SABADELL,"1,0335","0,44","1,0530","1,0230",12.833.205,"13.330,97",07/11/2019,13:54:31
BA.SANTANDER,"3,8100","1,13","3,8655","3,7730",121.851.259,"462.790,81",07/11/2019,13:55:04
BANKIA,"1,8270","1,78","1,8545","1,7920",4.030.842,"7.368,43",07/11/2019,13:54:33
BANKINTER,"6,4640","1,09","6,5640","6,3760",955.069,"6.187,06",07/11/2019,13:55:03
BBVA,"4,9400","0,73","4,9980","4,8850",7.363.299,"36.363,31",07/11/2019,13:55:07
CAIXABANK,"2,7720","1,61","2,8140","2,7380",10.404.937,"28.830,29",07/11/2019,13:54:58
CELLNEX,"37,5400","-0,42","37,8200","37,3000",170.697,"6.411,08",07/11/2019,13:54:26
CIE AUTOMOT.,"23,2000","0,69","23,4400","23,1200",85.296,"1.983,86",07/11/2019,13:51:57
ENAGAS,"22,8400","1,51","23,1800","22,7000",614.566,"14.050,18",07/11/2019,13:54:31
ENCE,"3,9840","5,56","4,0100","3,7680",3.728.683,"14.670,70",07/11/2019,13:55:10
ENDESA,"23,8700","-0,67","24,1500","23,8200",316.152,"7.580,14",07/11/2019,13:54:55
FERROVIAL,"25,9600","-1,33","26,4300","25,8800",2.008.443,"52.952,55",07/11/2019,13:54:54
GRIFOLS CL.A,"28,7000","-1,37","29,2600","28,6900",167.201,"4.836,78",07/11/2019,13:54:19
IAG,"6,3220","-0,28","6,4640","6,2960",1.229.259,"7.857,97",07/11/2019,13:55:12
IBERDROLA,"8,9280","-1,33","9,0480","8,9160",5.963.504,"53.463,62",07/11/2019,13:55:07
INDITEX,"28,3200","-0,56","28,7900","28,2900",21.728.792,"621.472,35",07/11/2019,13:54:54
INDRA A,"9,3100","1,20","9,3500","9,2000",422.677,"3.925,70",07/11/2019,13:54:56
INM.COLONIAL,"11,5500","0,70","11,5500","11,3600",220.399,"2.528,74",07/11/2019,13:52:34
MAPFRE,"2,5570","0,63","2,5670","2,5400",1.012.839,"2.585,58",07/11/2019,13:53:29
MASMOVIL,"21,2800","0,38","21,7200","21,0800",417.100,"8.899,97",07/11/2019,13:55:06
MEDIASET,"5,5100","-0,68","5,5720","5,5100",234.042,"1.295,78",07/11/2019,13:54:54
MELIA HOTELS,"7,4350","0,47","7,5350","7,4000",319.338,"2.383,48",07/11/2019,13:52:50
MERLIN,"13,1000","-0,15","13,1700","13,0300",290.886,"3.807,56",07/11/2019,13:55:06
NATURGY,"24,4900","0,20","24,6600","24,3900",381.969,"9.354,90",07/11/2019,13:52:45
R.E.C.,"18,0000","0,22","18,0700","17,9250",628.306,"11.309,53",07/11/2019,13:55:01
REPSOL,"15,2100","0,53","15,2450","14,9200",3.071.834,"46.575,43",07/11/2019,13:54:10
SIEMENS GAME,"12,5450","4,28","12,5900","12,0100",2.070.807,"25.749,67",07/11/2019,13:54:54
TELEFONICA,"6,8060","0,90","6,8250","6,7310",3.623.092,"24.607,37",07/11/2019,13:55:01
VISCOFAN,"49,2000","0,65","49,3800","48,7000",59.401,"2.920,37",07/11/2019,13:54:59
